source,source_lot_id,lot_url,sale_date_utc,sale_local_time,location_city,location_state,vin,year,make,model,title_status,condition_notes
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2025_Toyota_4runner_Sr5_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2025,TOYOTA,4runner Sr5,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2025_Toyota_4runner_Sr5_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2025,TOYOTA,4runner Sr5,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2023_Toyota_4runner_Se_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2023,TOYOTA,4runner Se,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2023_Toyota_4runner_Se_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2023,TOYOTA,4runner Se,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2023_Toyota_4runner_Se_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,,Future Sale,Boston,MA,,2023,TOYOTA,4runner Se,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ri_2022_Toyota_4runner_Tr_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ri,2025-10-02T18:00:00+00:00,"October 02, 2025 2:00 PM",Providence,RI,,2022,TOYOTA,4runner Tr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2021_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2021,TOYOTA,4runner Sr,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2021_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2021,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2021_Toyota_4runner_Ve_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2021,TOYOTA,4runner Ve,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2018_Toyota_4runner_Albany,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Albany,NY,,2018,TOYOTA,4runner,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2018_Toyota_4runner_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2018,TOYOTA,4runner,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2018_Toyota_4runner_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2018,TOYOTA,4runner,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2018_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,,Future Sale,Boston,MA,,2018,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2016_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Boston,MA,,2016,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2015_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2015,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2014_Toyota_4runner_Sr5_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2014,TOYOTA,4runner Sr5,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2014_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2014,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2014_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-26T18:00:00+00:00,"September 26, 2025 2:00 PM",Boston,MA,,2014,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2013_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2013,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_nj_2013_Toyota_4runner_Sr_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-nj,,Future Sale,Newark,NJ,,2013,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2012_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",New York,NY,,2012,TOYOTA,4runner Sr,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2012_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2012,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2011_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2011,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2011_Toyota_4runner_Sr5_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",Hartford,CT,,2011,TOYOTA,4runner Sr5,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2008_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2008,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2006_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Boston,MA,,2006,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2005_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Boston,MA,,2005,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2007_Toyota_4runner_Sr_Rochester,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Rochester,NY,,2007,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2001_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2001,TOYOTA,4runner Sr,unknown,
